carrington_rotation,year_week,modulation_potentional,k0_au2/s,tilt_angle,year,month,day,polarity
2123,2012.3265027,506,3.93283102766798e-05,55.9,2012,4,28,-1
2124,2012.4016393,494,4.0561487854251e-05,60.3,2012,5,25,-1
2125,2012.4740437,546,3.56092032967033e-05,68.3,2012,6,21,-1
2126,2012.5491803,664,2.72484939759036e-05,66.4,2012,7,18,-1
2127,2012.6243169,643,2.85119556765163e-05,64.8,2012,8,15,-1
2128,2012.6967213,583,3.26233919382504e-05,66.1,2012,9,11,-1
2129,2012.7718579,587,3.23231473594549e-05,70.4,2012,10,8,-1
2130,2012.8442622,571,3.7575288966725e-05,67.5,2012,11,4,1
2131,2012.9221311,544,4.00760294117647e-05,68.7,2012,12,2,1
2132,2012.9959016,544,4.00760294117647e-05,64.2,2012,12,29,1
2133,2013.0684931,533,4.11674859287054e-05,70.3,2013,1,25,1
2134,2013.1436073,530,4.14730188679245e-05,73.2,2013,2,22,1
2135,2013.2242009,564,3.82006382978723e-05,69.2,2013,3,21,1
2136,2013.2965753,559,3.86569051878354e-05,68.7,2013,4,17,1
2137,2013.3716894,674,2.98754599406528e-05,67.9,2013,5,14,1
2138,2013.4468036,679,2.95611340206186e-05,61.9,2013,6,11,1
2139,2013.5219178,665,3.04531578947368e-05,67.7,2013,7,8,1
2140,2013.5942922,640,3.2143125e-05,67.6,2013,8,4,1
2141,2013.6682648,640,3.2143125e-05,59.6,2013,8,31,1
2142,2013.7433789,614,3.404667752443e-05,60.8,2013,9,28,1
2143,2013.8184931,571,3.7575288966725e-05,57.6,2013,10,25,1
2144,2013.8908675,590,3.59527118644068e-05,59.9,2013,11,21,1
2145,2013.9687214,625,3.3222e-05,63.1,2013,12,19,1
2146,2014.0410958,606,3.46652475247525e-05,66.3,2014,1,15,1
2147,2014.1134703,681,2.94366960352423e-05,70.5,2014,2,11,1
2148,2014.1940639,652,3.13157668711657e-05,54.4,2014,3,10,1
2149,2014.269178,633,3.26402369668247e-05,48.9,2014,4,7,1
2150,2014.3442922,660,3.07809090909091e-05,28.9,2014,5,4,1
2151,2014.4182648,660,3.07809090909091e-05,25.4,2014,5,31,1
2152,2014.4933789,656,3.10467073170732e-05,24.8,2014,6,28,1
2153,2014.5684931,628,3.3002101910828e-05,40.2,2014,7,25,1
2154,2014.6408675,590,3.59527118644068e-05,49.4,2014,8,21,1
2155,2014.713242,634,3.25685488958991e-05,65.5,2014,9,17,1
2156,2014.7910958,632,3.27121518987342e-05,64.9,2014,10,15,1
2157,2014.8634703,645,3.17946511627907e-05,41.8,2014,11,11,1
2158,2014.9385844,731,2.65470451436389e-05,45.1,2014,12,8,1
2293,2025.0164384,849,1.0886669720848057e-07,61.2,2025,1,6,-1
2293,2025.0164384,849,1.0886669720848057e-07,61.2,2025,1,6,-1
