year_week,moodulation_potentional,k0_au2/s,k0_m2/s,V,year,month
1957.54,933,9.43193997856378E-005,2.12218649517685E+018,400,1957,7
1957.62,893,9.85442329227324E-005,2.21724524076148E+018,400,1957,8
1957.70,1015,8.66995073891626E-005,1.95073891625616E+018,400,1957,9
1957.79,970,9.07216494845361E-005,2.04123711340206E+018,400,1957,10
1957.87,986,8.92494929006085E-005,2.00811359026369E+018,400,1957,11
1957.95,1046,8.41300191204589E-005,1.89292543021033E+018,400,1957,12
1958.04,1040,8.46153846153846E-005,1.90384615384615E+018,400,1958,1
1958.12,1021,8.61900097943193E-005,1.93927522037218E+018,400,1958,2
1958.20,1078,8.16326530612245E-005,1.83673469387755E+018,400,1958,3
1958.29,1061,8.29406220546654E-005,1.86616399622997E+018,400,1958,4
1958.37,978,8.99795501022495E-005,2.02453987730061E+018,400,1958,5
1958.45,937,9.39167556029883E-005,2.11312700106724E+018,400,1958,6
1958.54,1010,8.71287128712871E-005,1.96039603960396E+018,400,1958,7
1958.62,954,9.22431865828092E-005,2.07547169811321E+018,400,1958,8
1958.70,939,9.37167199148030E-005,2.10862619808307E+018,400,1958,9
1958.79,936,9.40170940170940E-005,2.11538461538462E+018,400,1958,10
1958.87,922,9.54446854663775E-005,2.14750542299349E+018,400,1958,11
1958.95,959,9.17622523461940E-005,2.06465067778936E+018,400,1958,12
1959.04,932,9.44206008583691E-005,2.12446351931331E+018,400,1959,1
1959.12,966,9.10973084886129E-005,2.04968944099379E+018,400,1959,2
1959.20,900,9.77777777777778E-005,2.20000000000000E+018,400,1959,3
1959.29,862,1.02088167053364E-004,2.29698375870070E+018,400,1959,4
1959.37,925,9.51351351351352E-005,2.14054054054054E+018,400,1959,5
1959.45,880,1.00000000000000E-004,2.25000000000000E+018,400,1959,6
1959.54,1071,8.21661998132587E-005,1.84873949579832E+018,400,1959,7
1959.62,1038,8.47784200385357E-005,1.90751445086705E+018,400,1959,8
1959.70,992,8.87096774193549E-005,1.99596774193548E+018,400,1959,9
1959.79,909,9.68096809680968E-005,2.17821782178218E+018,400,1959,10
1959.87,896,9.82142857142857E-005,2.20982142857143E+018,400,1959,11
1959.95,916,9.60698689956332E-005,2.16157205240175E+018,400,1959,12
1960.04,962,9.14760914760915E-005,2.05821205821206E+018,400,1960,1
1960.12,932,9.44206008583691E-005,2.12446351931331E+018,400,1960,2
1960.20,888,9.90990990990991E-005,2.22972972972973E+018,400,1960,3
1960.29,947,9.29250263991553E-005,2.09081309398099E+018,400,1960,4
1960.37,945,9.31216931216932E-005,2.09523809523810E+018,400,1960,5
1960.45,906,9.71302428256071E-005,2.18543046357616E+018,400,1960,6
1960.54,905,9.72375690607735E-005,2.18784530386740E+018,400,1960,7
1960.62,854,1.03044496487119E-004,2.31850117096019E+018,400,1960,8
1960.70,856,1.02803738317757E-004,2.31308411214953E+018,400,1960,9
1960.79,856,1.02803738317757E-004,2.31308411214953E+018,400,1960,10
1960.87,892,9.86547085201794E-005,2.21973094170404E+018,400,1960,11
1960.95,850,1.03529411764706E-004,2.32941176470588E+018,400,1960,12
1961.04,789,1.11533586818758E-004,2.50950570342205E+018,400,1961,1
1961.12,770,1.14285714285714E-004,2.57142857142857E+018,400,1961,2
1961.20,771,1.14137483787289E-004,2.56809338521401E+018,400,1961,3
1961.29,775,1.13548387096774E-004,2.55483870967742E+018,400,1961,4
1961.37,746,1.17962466487936E-004,2.65415549597855E+018,400,1961,5
